,strike_dip_rakes,source_mechanisms,depths,noise_types,stfs,durations,velocity_model,cluster_assignments,source_mech_cat
33,"[(133.5810229558289, 57.17724656449872, 98.11988984148871), (298.8342331786927, 33.70283934513908, 77.64843771456805)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
34,"[(259.6610978096919, 77.9983910601085, 134.28826182527004), (1.6947505101909819, 45.55783908425191, 16.932722248189258)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
35,"[(280.5298899098276, 53.14691990532393, 22.012284437202688), (176.9003946068787, 72.54778459673751, 141.04527245760025)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
36,"[(227.73390324728348, 73.61984213727361, 68.10679414162423), (102.67424490456742, 27.09917292245022, 141.7512685919271)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
37,"[(139.98211005015074, 82.35687459174245, -51.762072570067446), (239.56253316979263, 38.87936845192524, -167.76661213429813)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
38,"[(255.1433672566527, 78.67117593767271, 19.549117905392063), (161.15331003019227, 70.84679832629111, 167.99771984059433)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
39,"[(241.63647439087484, 36.65576701072573, -66.21045663585912), (32.8473805904588, 56.88779750138118, -106.708956311615)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
40,"[(91.99749430312615, 43.41377090266421, 168.77610059205662), (190.20005735150212, 82.31243461905736, 47.1382776370306)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
41,"[(123.42793175748324, 72.44129176179867, 149.65484975963776), (223.44356296368466, 61.20551231936367, 20.13590416847012)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
42,"[(65.3283601692169, 83.79709201703464, 176.72017443698564), (155.68312776877653, 86.73939705394764, 6.213005343272045)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
43,"[(250.2872915108572, 52.37826522636647, -177.09438355605687), (158.51261618714744, 87.69895068215013, -37.65737868022061)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
44,"[(117.47637074524617, 78.35213680680127, 18.027812981668532), (23.716960575846745, 72.35577669353076, 167.76845929553627)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
45,"[(214.1095582250753, 62.82264872355457, 138.9888382766038), (325.7725218631718, 54.28463829239736, 34.23205405855059)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
46,"[(263.1728161020891, 45.4518098322987, 58.37961520144683), (124.44533097261522, 52.637238173409294, 118.04081062355903)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
47,"[(250.27006333345003, 28.969326115203035, -8.480837255511243), (347.7024658159736, 85.90387473585378, -118.70316557856937)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
48,"[(99.08199870705347, 47.500746196524766, -157.9344900056182), (353.766957788778, 73.92033333806957, -44.675212298846716)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
49,"[(123.84007291101804, 49.31515964720464, 55.427304415878226), (350.4312791366025, 51.36219864033652, 123.42785690029338)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
50,"[(120.39034216454833, 83.35492196678287, 107.91653300851031), (230.08358146752695, 19.07116176840287, 20.741901718245167)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
51,"[(308.414453007348, 27.144807103067716, 51.07135661590662), (170.644531036256, 69.21126768790391, 107.85708750637404)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
52,"[(61.153693510898485, 42.92303418678277, 111.13113702339784), (213.3285581051725, 50.56352475347254, 71.46519374095269)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
53,"[(71.71143043539328, 84.97874939907668, 176.41598361410428), (162.02552889135495, 86.42975584324569, 5.031039925626808)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
54,"[(303.764594871129, 87.35012336608762, -29.072206578765428), (35.23696477150387, 60.961849235434244, -176.9688000175953)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
55,"[(42.598293074388025, 71.46431436911594, 153.87201408586776), (141.46093383914626, 65.32103335054533, 20.47814136785166)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
56,"[(74.73835313224465, 45.667414361088255, -82.98647789066214), (244.7540249324265, 44.76971287732733, -97.12399587301678)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
57,"[(131.0874217280668, 87.42626995771722, 91.28736434021572), (284.5019090433008, 2.8775472847888506, 63.44340763808297)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
58,"[(253.65240859272507, 46.224176275024696, -159.62970122232178), (149.2455321414483, 75.4433947685445, -45.62543791758846)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
59,"[(317.60249592258884, 81.163753787017, -147.8314419398431), (222.08391811426912, 58.25815727513348, -10.406342670143435)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
60,"[(323.88393415059784, 59.35167495072492, 42.168959718140094), (209.09995031496308, 54.722001887596456, 141.35892764791586)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
61,"[(234.11000868084759, 73.98561389752615, -6.112140504836814), (325.8021515343829, 84.12590826028162, -163.8987904075883)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
62,"[(143.50315622273328, 53.220576977445404, 49.329003068581905), (18.634065300126736, 52.591815470255455, 131.08248480460128)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
63,"[(82.3014643665769, 73.09688067153574, -2.131729363980858), (172.92153575523147, 87.96040592860456, -163.08584286170282)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
64,"[(289.10426386970494, 79.27229063166835, 175.24791582896015), (19.99078852464644, 85.33115449581996, 10.76385008406664)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
65,"[(240.13894756742286, 43.12436584151296, 94.74871026546278), (53.645724022736246, 47.05956053505618, 85.56640663771415)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
66,"[(287.028107843956, 89.49251962970068, 141.28005610843195), (17.43495423590965, 51.28185788839466, 0.6504275396942217)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
67,"[(304.40347555093047, 49.79830847184649, -87.45547052096906), (120.46502487236903, 40.26849133590414, -93.0071099556999)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
68,"[(241.68735855404393, 74.22370806159172, 85.5515803331516), (77.65522699348386, 16.376110128410495, 105.35123340378397)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
69,"[(95.43154156042259, 75.70596304800937, 98.37957744783428), (244.61063768450774, 16.52488775534627, 60.231658839889796)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
70,"[(295.8782374410455, 55.95268857789953, -154.9316148128571), (191.20268613568922, 69.44739670638741, -36.722197870738)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
71,"[(8.763063439335445, 33.97132697552486, 96.88364326946626), (180.48069769128057, 56.30649908986103, 85.38310287150118)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
72,"[(226.7269059863565, 44.67596848933697, -59.10992832481535), (6.652599292877959, 52.88871998167858, -116.91318106368186)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
73,"[(341.2320293174979, 32.44812162355827, -102.42062059186595), (175.8592348080569, 58.40052608668448, -82.21300210837477)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
74,"[(98.10130444694731, 25.378483300538704, -178.268809090204), (6.537092418634839, 89.25811089291392, -64.6316444974401)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
75,"[(77.43756877509234, 75.56261357623507, 165.92491121268452), (171.01447916637122, 76.37811058591372, 14.864736985204944)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
76,"[(301.10994845216663, 48.56121867839492, -90.22442502935688), (121.44904933793394, 41.43927918934151, -89.7457891673796)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
77,"[(321.2434714771022, 79.45531800846518, -137.1446439818162), (221.60708386365616, 48.035977067529394, -14.24772035681373)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
78,"[(238.685592070923, 45.70881146629515, -17.513454659347303), (341.1124147600738, 77.56067854274245, -134.34924158796386)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
79,"[(288.4510024182223, 81.57607550095769, 35.405435262947776), (192.50620209451816, 55.03276250566479, 169.70204103303973)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
80,"[(246.84652634274784, 87.38408717196614, -152.1162006852164), (155.46316835510333, 62.14778720357964, -2.958943954034946)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
81,"[(223.22539758225815, 75.82898830777988, 101.10312668955115), (4.509212066656297, 17.932280137783117, 52.66819765730534)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
82,"[(303.9458522739964, 87.7160682762637, 47.864591345325735), (211.42361213553176, 42.185694360299195, 176.59784346520186)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
83,"[(272.22177664652196, 35.06868777901858, -172.5115913763839), (176.08126502314664, 85.70569387192685, -55.16175530611075)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
84,"[(332.21659861961547, 52.43774251032772, 82.32802143629445), (164.67691972237742, 38.22419291274115, 99.84793354846313)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
85,"[(53.35207453430443, 53.05587587897047, -10.700912782701062), (149.83178055451836, 81.46570558549237, -142.5718874954494)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
86,"[(278.4799274663271, 81.12667027195398, 36.51432482213381), (181.96502721917236, 53.99170539775897, 169.00728694184994)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
87,"[(236.71372327785954, 27.571943085346234, -50.38108108679214), (13.671621608460555, 69.11190543338921, -108.416350088413)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
88,"[(313.36163354169594, 64.96546951352101, -99.9986353567927), (155.97964412750625, 26.837352596056814, -69.6071656149342)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
89,"[(331.4682495837534, 79.68343542975695, 81.79581978174623), (190.30462820492613, 13.153330727666647, 128.09450470416536)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
90,"[(318.0526946560202, 62.5567595406322, -112.69492101356103), (180.27409707287234, 35.03981890570343, -53.38921721505407)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
91,"[(99.53531793942157, 83.29971728912977, 89.37637081989905), (284.86508462060584, 6.729110437125937, 95.29326048982455)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
92,"[(95.97336338556869, 73.38674017420179, 145.91241388000176), (196.92394685209436, 57.51600534217149, 19.812319605367414)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
93,"[(285.0425640421227, 69.4238801896463, 94.3109251252733), (92.93672412448603, 21.003681032773013, 78.67701712515343)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
94,"[(95.9156223365053, 64.71464360324572, -55.719860387112334), (217.98732938728566, 41.65780936291696, -140.01367345483575)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
95,"[(241.65248025549835, 56.868712280615526, 179.05355119611283), (332.1698036821373, 89.20743525141786, 33.13486583315205)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
96,"[(97.1588499888077, 68.89991703348738, -28.7600950126218), (198.33563380141732, 63.32789306237665, -156.2424527894327)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
97,"[(251.60105885124472, 86.0827230042086, 160.31778047561417), (343.0009057646362, 70.36565483704078, 4.159516331738434)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
98,"[(223.33829406431275, 79.1800549795562, -113.25945369648426), (109.74552455727003, 25.525589464963097, -25.82599491849606)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
99,"[(282.425705362742, 68.29096260675051, 156.66225677690304), (21.493085184479785, 68.40439900423422, 23.441858067929864)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
100,"[(295.0855084312287, 79.98350632924301, -9.09000207293297), (26.67953607228456, 81.04969741118234, -169.85874120979815)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
101,"[(136.51993516724, 87.2067535292112, 101.92223949256726), (239.51655521500948, 12.24046848283102, 13.288342964798765)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
102,"[(125.4398594140884, 48.82951252709583, 36.283253491713644), (9.646561588170085, 63.54703433497208, 132.6686116606773)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
103,"[(69.0463435304075, 18.271927494862386, 151.253690347314), (186.56033333795992, 81.32755700011653, 73.85514674560841)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
104,"[(273.48155438637394, 54.74468648431503, -67.67584008754093), (58.054324160021494, 40.94102614165284, -118.25199631861838)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
105,"[(63.68608719179773, 70.49803690991429, -13.165267078227812), (158.15112719049017, 77.6024229427747, -160.01283118293878)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
106,"[(83.74497946252174, 88.4087173903123, -60.02139131099831), (176.50105742420598, 30.016890973002752, -176.81783208595647)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
107,"[(78.61087952555576, 79.28221034924012, -167.55092169936526), (346.2598895003322, 77.77148475761369, -10.969664663047256)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
108,"[(81.14243106841232, 86.28057529771253, -108.03540182098621), (339.8747990885537, 18.402438689541622, -11.858111090929526)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
109,"[(122.30098984090806, 59.38819587266671, -141.59045337414156), (10.315091338658455, 57.67675564394937, -37.055880492893436)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
110,"[(346.4314811195863, 54.03123856398429, 76.43181041912908), (188.76908878903458, 38.11718904667367, 107.91462305420413)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
111,"[(264.0813050296765, 53.86630495317028, -141.50068468121304), (148.95311558293335, 59.81708627521815, -43.01224977844613)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
112,"[(137.69007997824497, 57.587533970498704, 44.14407042569141), (20.20526030753086, 53.98736803035991, 138.49758953416998)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
113,"[(35.96063367742734, 34.46371632885994, 100.26725834238556), (203.56952866832376, 56.163646344487475, 83.02538793091892)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
114,"[(253.43092564090338, 60.59795123482749, 95.94277810750818), (61.45960784880191, 29.943932765578936, 79.58915726602575)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
115,"[(257.38785965671826, 76.2843029515489, -23.635645494219787), (353.3119004875838, 67.07744675882273, -165.08218509337902)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
116,"[(248.7292346027674, 49.19724832959663, 7.006608896353837), (154.13761167118673, 84.70191380730539, 138.98469190620628)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
117,"[(102.88242219258017, 75.04836123693082, 11.031062817697965), (10.003099612679106, 79.34684919974879, 164.7798514752492)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
118,"[(308.606725681569, 36.68543934016708, 48.639294441763816), (176.27737799419947, 63.35871693460591, 116.21018973399188)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
119,"[(314.2032381099721, 84.9528320162887, -178.94617968858233), (224.1105170322146, 88.95026621829182, -5.048017393496762)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
120,"[(305.987296677849, 48.971927169774695, 8.488995865391832), (210.39159900250397, 83.60614465183976, 138.6591322042573)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
121,"[(86.08803809890331, 62.21659775777723, 52.757473067234315), (324.5731394490297, 45.22652956366404, 138.95762860055152)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
122,"[(73.112084549458, 86.1718563927786, -48.25501107652567), (167.39075000774935, 41.88804529037192, -174.26114975586725)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
123,"[(215.0988075278599, 61.38104338592152, -70.37427582010794), (358.432076218267, 34.22564912094874, -121.61448843924494)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
124,"[(142.70103320825933, 86.27792512840387, 110.52907273420493), (242.53605826339046, 20.849424995346663, 10.509290437515778)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
125,"[(265.59857518172436, 75.3404471345049, -165.87412331836535), (171.95435306310262, 76.34303951148519, -15.096082419668726)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
126,"[(272.65047557105555, 82.40684095782571, -43.90014886870733), (9.897310829762269, 46.581390156537445, -169.51837097124232)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
127,"[(116.15625706615526, 60.812480921934146, -62.81828341848966), (249.67683796647117, 39.048498232658616, -129.27598499008886)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
128,"[(95.4629305618009, 49.76329760867665, 61.27802394587742), (315.772210377892, 47.97480793023196, 119.5934344835936)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
129,"[(252.21337421970574, 67.77179565681097, 53.79569038635405), (134.88367649464948, 41.67317850199229, 145.3216413220091)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
130,"[(284.8112534099496, 69.51707369671726, 167.65646261395366), (19.190148340986113, 78.44799478416205, 20.926078873620188)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
131,"[(276.0954148105841, 84.60511944507412, -168.8411767867979), (185.03292186081893, 78.89123654078321, -5.498207820914825)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
132,"[(68.76801621121221, 45.461256654000415, -75.07238743623705), (227.95645639026444, 46.47100336360611, -104.66969311092546)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
133,"[(324.8363167009808, 89.96609909587116, -103.10691693582297), (234.690716193647, 13.106960010475973, -0.1494950720348349)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
134,"[(132.88721143246568, 25.346486657317527, 36.188567276959645), (9.416227215053526, 75.35885740271692, 110.92213185783557)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
135,"[(132.83587161628918, 60.66700028090444, -125.63629099293748), (8.48917154487173, 44.884618718258515, -43.96357196576099)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
136,"[(43.8275006160622, 61.26022943432224, 74.7121588459326), (253.44463564700848, 32.24383930940774, 115.67859617929446)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
137,"[(236.25518811395685, 60.54768468568093, -112.30125839736708), (96.08869261092545, 36.328550358145336, -56.09784206339898)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
138,"[(227.09623691058425, 76.42232519126988, -48.27977312289828), (331.84770495030654, 43.485943616732456, -160.0537613609095)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
139,"[(82.91727205748228, 61.79264754415304, 123.08515800896781), (208.87724167414984, 42.40825086793018, 44.495775575605784)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
140,"[(54.882483566437585, 89.89303090050744, 155.43008312142447), (144.93138988310707, 65.43012877458195, 0.11761893247887761)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
141,"[(152.95120920810504, 88.85914992987395, -67.11913999385462), (245.65231704096504, 22.9077575518165, -177.06801125128908)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
142,"[(239.49702557615288, 87.15547778513793, 99.60409021589676), (345.8423059942967, 10.012687902869123, 16.584292618151906)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
143,"[(309.1352636543174, 40.33155578120283, -97.68607052982287), (139.17473697205, 50.10407815873374, -83.52175924181824)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
144,"[(257.67410690662325, 67.76147239859439, -91.8677589593714), (82.59880495100423, 22.31285851852302, -85.44242513656658)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
145,"[(53.78670793499151, 58.88164078321392, -74.75904182096546), (205.98844436022563, 34.31086399218007, -113.53138601455635)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
146,"[(270.6986830468277, 39.457586709195894, 30.845022462521122), (155.94502081641252, 70.9837933269737, 125.24782577741374)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
147,"[(67.28092753521202, 85.07797502627825, -98.43628691943053), (307.2315261043015, 9.758168504787728, -30.41264161350526)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
148,"[(300.2740502567718, 85.71853625075023, -20.78625487520837), (31.8973040332355, 69.27442675359603, -175.42168392159513)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
