,strike_dip_rakes,source_mechanisms,depths,noise_types,stfs,durations,velocity_model,cluster_assignments,source_mech_cat
14,"[(239.67513832104896, 89.41014502165315, -79.9934503027901), (333.0142927821693, 10.023742865305065, -176.60920549005033)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
15,"[(44.75978830829345, 42.46581770346932, 123.20781880833425), (183.17571489896812, 55.605265942716194, 63.377538998527875)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
16,"[(51.36719613076001, 79.08061178741227, 9.738519512846047), (319.5051341415835, 80.43947022552751, 168.9248823399512)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
17,"[(70.27569714061056, 71.92659304558137, -67.32742523651038), (196.87473417257533, 28.69412472323212, -139.7485259787872)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
18,"[(62.709590204085735, 48.146082202250035, 143.8484168659258), (178.69770910276088, 63.93416335944979, 47.96896578413168)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
19,"[(105.93638565964689, 77.99469884342766, -174.24594961108465), (14.73566641027441, 84.37221102015275, -12.06432015972076)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
20,"[(231.6598079157891, 72.48689784025508, -49.37876429365052), (340.9922435091639, 43.62693250160649, -154.14170238442713)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
21,"[(48.72050191431328, 61.33729376416131, -90.87235102741002), (230.53874663956347, 28.674852347541954, -88.40462723788238)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
22,"[(278.96367748407795, 49.018573466813216, 34.86764709465677), (164.40554687196098, 64.43238459385401, 133.36409033791722)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
23,"[(111.36652773007569, 89.7003225272035, 71.20989720615285), (20.485805629922975, 18.79240609065311, 179.0696930979417)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
24,"[(119.04377531624027, 87.25610002213283, 104.57203983089447), (219.47795049110812, 14.822626912094075, 10.785062363917293)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
25,"[(265.676737805842, 65.02497120214589, -175.45444169169946), (173.75418264263354, 85.880260381546, -25.044183834382537)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
26,"[(244.38323115545558, 57.37715338295417, 86.53796900732469), (70.78606313361404, 32.785841351528845, 95.38943202512293)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
27,"[(106.22186151782546, 38.14629611159142, 48.21405165642279), (334.8735913842705, 62.57673420399911, 117.6255294865629)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
28,"[(64.1176307500951, 47.049488712424484, -45.627954863071515), (188.97360403241615, 58.45267023820897, -126.91471822211841)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
29,"[(262.4988426641888, 61.46473824406848, -105.80854788449929), (113.15407484682305, 32.296420136740025, -63.38882494227231)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
30,"[(268.4313438553514, 65.5890160638837, -22.12418671067432), (7.9690084326124415, 69.94343916166252, -153.89863114795426)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
31,"[(84.04493612502515, 65.91611987322767, 153.88552921783435), (185.3571284729302, 66.30617517338906, 26.464184145036285)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
32,"[(95.39212767114657, 81.83061009290482, 71.90589214675934), (341.8875519483962, 19.796443689916202, 155.19248969026953)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
33,"[(81.35575660249508, 72.20638943219365, -99.90055983192389), (291.088714446226, 20.284373379710928, -61.82063556685638)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
34,"[(244.32853217946553, 55.97768619957282, 45.12991017375527), (124.98998752971958, 54.02789082555709, 136.26253162061866)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
35,"[(278.02279000888916, 43.56846444515063, -30.30834746454683), (30.977158863858413, 69.64610900714824, -129.39369057463253)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
36,"[(90.31111997116345, 38.70722294805831, -175.38703992941666), (356.70834704798665, 87.11722607630999, -51.383460811728646)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
37,"[(203.08500042983923, 50.123843281759804, -56.74462771526866), (337.43857567955183, 50.077315420869375, -123.28089551123729)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
38,"[(200.62294587756406, 86.74405782353749, -104.77172270225404), (98.4673883142338, 15.118497676350996, -12.577725342452172)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
39,"[(307.53917929792044, 62.738107888758464, -126.33155066008494), (185.6223890337763, 44.265138200147675, -41.015506490923386)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
40,"[(83.26064902383769, 86.54609343760401, -52.030634473631494), (177.6748887575248, 38.102521333833494, -174.39720025800554)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
41,"[(289.30420160644417, 75.62429289512791, -144.14764344786678), (189.13299049946053, 55.43370091443732, -17.547932033904402)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
42,"[(288.4514039256238, 84.70660186216897, -56.79619708219096), (26.475027005613335, 33.57531294682768, -170.39713158187436)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
43,"[(166.4820145829417, 69.13818615728964, 87.30076269528124), (354.0234448913625, 21.027987471815397, 97.04443351259098)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
44,"[(101.95802037212385, 83.87145074240047, 68.96537650038854), (356.44248850202456, 21.870310639669867, 163.34564468810558)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
45,"[(225.6398788942646, 63.8836883652735, 86.32937615646085), (53.93156698186027, 26.355050053539582, 97.44005695459505)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
46,"[(289.1491616574527, 66.70142221410252, -28.363674766563488), (31.202753474051917, 64.13019242272954, -153.92334091439096)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
47,"[(57.929096547389385, 60.332628197160496, 101.08417180873704), (216.33557688588877, 31.492928454664924, 71.35055921629296)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
48,"[(64.81606596633237, 89.79791292874552, -23.508258588800512), (154.9039703125489, 66.49189643443094, -179.77962230963846)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
49,"[(129.8067197497232, 88.67817217951549, -166.3399805492846), (39.485501729246, 76.34368601297325, -1.3602909605803044)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
50,"[(268.6101055204679, 20.759549847626314, -179.98964657947255), (178.60042428390264, 89.99633026222845, -69.24045046241054)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
51,"[(228.6669604932084, 87.27781736672866, -72.52014343203876), (327.2433317016817, 17.684012218140154, -171.00505777295166)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
52,"[(223.3339647300602, 88.71080856376757, -143.3542915945161), (132.37510045364968, 53.36507982909204, -1.6066362658339741)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
53,"[(86.44549280040384, 53.2926140172079, 50.92988104284665), (320.0816861921833, 51.5070072117187, 130.209372681494)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
54,"[(257.27376669540064, 78.16929026636187, -93.4623448120961), (93.71545087885198, 12.320009171952778, -73.91716019980494)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
55,"[(86.43559938520144, 84.0985289111886, -34.36745813442935), (180.45774715472913, 55.8399509604496, -172.86222971321945)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
56,"[(266.3906642566829, 70.98832613417522, -70.23769201472372), (38.58946516451105, 27.155853408199135, -134.4597986643538)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
57,"[(74.0041067776778, 86.48862606866787, 143.38123636398217), (166.61023580349485, 53.46113348682914, 4.3718587511545515)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
58,"[(288.8067340825025, 31.77044118795455, -136.4527315319356), (159.86471130723532, 68.73109562288647, -65.82557530119584)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
59,"[(28.218397318089774, 79.79660631874623, 106.77610593457517), (148.65738474818409, 19.558847144548366, 31.947421316134772)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
60,"[(325.0134944018377, 73.29614705959166, 85.09684575483999), (161.63191071166966, 17.388913004491442, 105.89815448932173)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
61,"[(11.732315990841434, 62.22681466903341, -79.26202507462986), (169.58729563375337, 29.621920136719346, -109.48298797541057)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
62,"[(285.84330390994535, 89.39874851580421, 51.54595901070216), (195.08623937115524, 38.45801333229751, 179.03323786565937)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
63,"[(53.54483895131925, 60.359300194369006, 130.41832147443245), (173.68981544283025, 48.56987511232711, 41.2709532412437)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
64,"[(10.918553983790076, 63.84017565931357, 100.47045548434352), (168.17619859466734, 28.039697821280296, 69.6967508077657)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
65,"[(104.24573172722123, 66.71949010184797, -176.54252987596618), (12.877824107758169, 86.82433550890478, -23.318430093597033)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
66,"[(95.06767930616076, 58.49082032582509, -109.09350279809871), (308.5851624917441, 36.326545620749286, -61.91542737661551)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
67,"[(273.9602566589279, 52.40602034885936, -77.46309815120922), (73.9332176278707, 39.33427388200391, -105.74475183613035)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
68,"[(106.78129743542698, 62.208850567401214, 162.67539766002378), (205.05639413024218, 74.72594594090621, 28.902624402685834)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
69,"[(61.34663866058445, 78.78001945482019, -55.74411691556275), (167.29184408633478, 35.83221932649444, -160.58705425619124)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
70,"[(57.106929620118095, 89.51246824416312, -35.57248974322863), (147.45560561760945, 54.42899371831953, -179.4006176262208)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
71,"[(280.85904042794294, 86.16333639179241, -157.6754801468376), (189.28516467598655, 67.72819841570866, -4.146488736845874)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
72,"[(81.81089475137472, 70.48985101973481, -127.74919516370741), (328.4781508913582, 41.81528662590452, -30.0603654853813)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
73,"[(288.55313538116536, 61.717482396549286, 9.248981947207758), (194.1410625293064, 81.86314707294315, 151.40351042544313)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
74,"[(254.9605496952335, 45.93853550291519, -91.64379584826276), (77.32357036814898, 44.085822880968514, -88.30217996150427)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
75,"[(280.3776040665682, 80.15816873043887, 74.98993443925808), (157.86142400422472, 17.886679156488704, 146.18409703730958)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
76,"[(186.75544561729737, 46.792249623058446, -85.68165168099227), (0.4614940885912474, 43.38063984494487, -94.58317574465984)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
77,"[(335.9165138811384, 88.78026003436821, 93.51553934958706), (85.02746036489597, 3.7208755615392413, 19.14837988226654)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
78,"[(154.34613053989068, 48.69454220759166, -125.42244157070184), (21.4834821118188, 52.25454627345276, -56.59041522198662)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
79,"[(217.90486554041587, 83.19030133070156, 118.27299036550028), (320.3374811908429, 29.015585486011833, 14.149598906713113)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
80,"[(87.31520173914072, 30.646460621271753, 4.125931581169795), (353.7639493856832, 87.89819672199377, 120.58129647721589)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
81,"[(205.2090568792757, 87.13895960123176, 65.77838371487472), (108.87790858242688, 24.379881707297866, 173.05481154068033)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
82,"[(241.00669523074365, 75.81952504766518, -135.0753523518236), (137.27642573860007, 46.79126390011917, -19.63992095953415)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
83,"[(114.99505721696143, 63.38266125965077, -40.97784618137551), (226.25916385794346, 54.107373459404876, -146.42396738546088)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
84,"[(104.24936094202207, 60.40857391284496, -72.10395004982168), (251.06774810852176, 34.15770610145495, -118.41864153660258)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
85,"[(10.10919094966328, 41.22564398797498, 91.46868230217217), (188.15679586234992, 48.79084674886333, 88.7134614569768)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
86,"[(75.59218139508818, 39.63048934463229, 124.05809937711838), (214.31862063860902, 58.10080962131659, 65.11803469709548)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
87,"[(284.8099142006209, 26.137744996853055, 12.420900630038405), (183.62544021671968, 84.56281338905309, 115.60497190193699)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
88,"[(257.39296577751935, 69.43927627249145, -174.40948635954862), (165.42409868857519, 84.7666270657959, -20.650712886311386)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
89,"[(60.61001732105094, 76.84175633730591, 26.133829340762393), (324.2372326377915, 64.60192238868893, 165.40429270786962)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
90,"[(278.463154343131, 56.93397668118321, 121.21208078219918), (50.46532183927031, 44.21402152347543, 51.48161939529549)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
91,"[(111.39694980447231, 72.54355020200747, -93.96532905838261), (304.4083247524014, 17.88747495792128, -77.59764231967205)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
92,"[(286.16438153883274, 80.41727047564382, -175.99490850985543), (195.49658997682187, 86.050883809779, -9.605752693348666)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
93,"[(59.00716587704645, 26.194592989985058, 161.19166058733035), (166.00092562336638, 81.81813066234119, 65.02977487338799)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
94,"[(232.54365055670544, 49.4498487749791, -21.723822230466066), (337.06551193641803, 73.6657232959893, -137.354722219514)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
95,"[(285.8589367798478, 65.90813792859275, 87.365802410689), (112.28953973268756, 24.22690458570458, 95.86838496306444)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
96,"[(302.3611020177689, 52.755675243167936, 95.98155837584471), (112.53903936247363, 37.652729875545994, 82.19515447769132)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
97,"[(297.59602561494864, 42.673208724286326, 43.767793121263686), (172.44018192262104, 62.038989544541145, 123.65389562104284)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
98,"[(35.204455742730744, 74.19233331642138, 131.7203539360721), (142.1937599221235, 44.09606768226012, 23.04593633819734)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
99,"[(85.55308230545106, 74.30558412671449, -109.83982667856154), (318.6932521084356, 25.099019141553985, -39.621322302763836)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
100,"[(113.87926491122624, 55.54785143190662, 22.760600134815867), (10.527278801513086, 71.39620204837505, 143.3512435977934)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
101,"[(84.98213558016523, 83.15885642914625, -32.49802738987323), (179.3214306050127, 57.76146137324312, -171.9042525549941)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
102,"[(77.86435952672397, 82.73213413883417, -158.5397156167901), (345.0172903802003, 68.7205679787231, -7.802829466565733)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
103,"[(10.165164324685952, 70.43222576752022, 94.00806984169205), (178.3488444449048, 19.958274564259387, 78.87510685788945)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
104,"[(198.1313472608403, 34.02902750648274, -84.84936367222913), (11.924036937735302, 56.12704985079842, -93.46901843930002)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
105,"[(102.12292152189836, 39.6029689661322, 7.833972002064666), (6.071704202619332, 85.0153854219776, 129.33933647895094)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
106,"[(317.1615184182825, 67.99921962725055, -112.0320382973196), (184.3703330996084, 30.742781724683553, -47.12543179702061)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
107,"[(200.90222275187415, 69.06588486073059, -80.61502481037994), (356.07759165906185, 22.855053266482546, -113.08705565486814)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
108,"[(289.0969952773473, 37.14028318033974, -143.41782573079647), (168.48681170323928, 68.91018024060088, -58.69227080853153)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
109,"[(73.58500586314557, 43.28804345118301, 165.47013537580884), (174.26867026025036, 80.09452930773186, 47.64044758281639)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
110,"[(233.68412230128675, 55.80417161169427, 140.4958463610476), (348.5454576207731, 58.25361733551261, 41.36885485214522)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
111,"[(234.40142622375006, 71.02086432757426, 101.3879297342669), (22.630852010065187, 22.02503018649986, 60.1390947933223)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
112,"[(217.01385829798562, 29.708553597456728, 113.51508327146811), (10.404143244716536, 62.971590434638905, 77.17468554423922)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
113,"[(252.53663279164746, 89.5761524750405, 90.53259485156593), (21.04891096845916, 0.6806605806409102, 38.514248144464254)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
114,"[(103.6000316574343, 74.19248721223099, -97.14812382092182), (308.3202833060294, 17.310943470621496, -66.27337441607116)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
115,"[(313.8073747797796, 52.71478431294853, 73.21780199840721), (160.27301030242148, 40.38186995213779, 110.76777693861695)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
116,"[(286.55800440270446, 28.60079513726474, 43.022181400316136), (157.22812059213084, 70.93680141487204, 111.73302510060431)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
117,"[(113.1409604273197, 57.9724353692185, -73.54886778582654), (264.0319158903305, 35.60147388104449, -114.35749294448202)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
118,"[(96.50987066158703, 53.60117045432396, -46.9785743358945), (218.96089971031546, 53.951801626226704, -132.782733468181)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
119,"[(129.43554750200366, 86.36070405306444, 118.06062448597396), (226.22606794857288, 28.276608748854567, 7.700230927408701)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
120,"[(103.11251983542623, 54.3743184252554, -52.41255042818327), (230.2279718511642, 49.900785674473845, -130.40419607084456)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
121,"[(276.1939808729412, 60.80235064661187, -72.22029902564043), (62.87480687655824, 33.772815629397144, -118.6533561988394)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
122,"[(71.75718488726848, 83.05517100118273, 156.68774622222955), (164.7398418617633, 66.86877271702109, 7.555347398327973)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
123,"[(49.15689558545241, 85.5018020590551, -50.032739483319894), (144.50278556918857, 40.17736911960644, -173.01762568918735)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
124,"[(102.124705811674, 62.342507023332324, -67.83726944856515), (240.85695573372047, 34.88551402017071, -125.74748773964275)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
125,"[(323.0822772041165, 70.20265528606899, 72.900259033156), (185.33106893414828, 25.933331355510187, 129.2431591864038)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
126,"[(311.58397584538443, 79.06596016859733, 18.121537647058393), (218.03186865886528, 72.21853582963507, 168.5101299942924)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
127,"[(149.69570925938473, 70.1671044627479, 83.17002269255022), (349.13998763793137, 20.93113519498302, 108.24886343854266)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
128,"[(332.3160107574725, 88.90204792949078, -94.34558230263224), (228.16338650157476, 4.48188262255356, -14.194282432971319)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
129,"[(236.4346457294262, 74.69400784245141, -93.60849048596903), (69.87078602713923, 15.71570194542877, -77.04889010387456)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
130,"[(266.310104368892, 49.70800979990778, 12.205746952582974), (168.34691456375464, 80.71969342379496, 139.0606541421522)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
131,"[(266.59623349516016, 60.625792090259765, 44.96754572137111), (150.4934054713663, 51.98641800709363, 141.4949672259004)]",DC,20000,,lognorm,7,crust2_m5_hardtop_16Hz,1,0
132,"[(285.5115312729973, 29.664559379523453, 25.677596732909098), (172.83766899920658, 77.61657868704516, 117.17248876145925)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
133,"[(103.71678036594297, 81.66996990625869, 129.12939144035886), (203.81425712594034, 39.866604168088315, 13.062448517531728)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
134,"[(254.1166270702611, 50.12651770075518, -161.81893204448548), (152.22686496539083, 76.14507797925289, -41.3232130877711)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
135,"[(225.8930311715523, 60.44695833190743, -15.113587549634948), (323.48067011906244, 76.89055286900619, -149.57385468588996)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
136,"[(97.167451542964, 67.39450525085677, 73.38701363363401), (314.98616004593185, 27.792985212275838, 124.4757663670244)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
137,"[(285.4460451317528, 58.06359601384693, 73.16387383710301), (135.21810845179866, 35.682595951535376, 114.92242309953677)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
138,"[(246.9529666810844, 30.694962585369385, -24.09199469299536), (357.9850383654176, 77.97290398650283, -118.45444157251067)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
139,"[(229.06084370944205, 89.05024371622048, 9.329502514680916), (138.904820483172, 80.67179066542425, 179.03751466711213)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
140,"[(310.59923470685766, 64.60842052590267, 179.64561129136078), (40.75119900635922, 89.67984621065347, 25.392004043776325)]",DC,20000,,lognorm,10,crust2_m5_hardtop_16Hz,1,0
141,"[(300.1816670269534, 74.60883720987297, 73.86843847655072), (167.64130115343818, 22.153840372860028, 135.2655819104099)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
142,"[(123.93178565941828, 30.68110543411743, 34.01256876982466), (3.8023743592358508, 73.41567435457611, 116.18814356036081)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
143,"[(50.79285733360858, 77.38071534287272, -105.56917022727626), (282.6926360935647, 19.942264078634103, -39.8322654974479)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
144,"[(62.51018385895042, 59.09525510224835, -52.74713717156836), (186.54387620213413, 46.92449312720202, -135.32045298327117)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
145,"[(293.92633565541837, 48.68118927306273, -5.030133058443719), (27.252290463764545, 86.22425048169035, -138.57152985340124)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
